"","est1","","est2",""
"","b","t","b","t"
"comm_indication2","","","",""
"1.phase","0",".","0","."
"2.phase","1.319213","2.315362","1.319213","2.315362"
"3.phase","4.621791","3.618404","4.621791","3.618404"
"5.phase","0",".","0","."
"_cons",".9401617","1.1516",".9401617","1.1516"
"/","","","",""
"var(_cons[hospital])","2.087977","1.080278","2.087977","1.080278"
"var(_cons[hospital>anesthetist_id])","2.477039","1.562967","2.477039","1.562967"
"N","274","","274",""
